roll_dice,path_complete,path_simplified,snake_16_6,snake_49_11,snake_56_53,snake_62_19,snake_64_60,snake_87_24,snake_93_73,snake_95_75,snake_98_78,ladder_1_38,ladder_4_14,ladder_9_31,ladder_21_42,ladder_28_84,ladder_36_44,ladder_56_67,ladder_71_91,ladder_80_100
44,"(5, 11, 15, 21, 42, 46, 47, 26, 28, 84, 85, 86, 88, 92, 94, 96, 98, 78, 79, 83, 87, 24, 26, 29, 31, 32, 38, 44, 47, 26, 28, 84, 85, 91, 94, 98, 78, 84, 90, 95, 75, 77, 79, 83, 88, 93, 73, 77, 83, 85, 91, 92, 96, 100)","(5, 11, 15, 42, 46, 26, 84, 85, 86, 88, 92, 94, 96, 78, 79, 83, 24, 26, 29, 31, 32, 38, 44, 26, 84, 85, 91, 94, 78, 84, 90, 75, 77, 79, 83, 88, 73, 77, 83, 85, 91, 92, 96, 100)",0,0,0,0,0,1,1,1,2,0,0,0,1,2,0,0,0,0
34,"(2, 6, 9, 31, 32, 37, 39, 40, 45, 46, 47, 26, 28, 84, 86, 92, 95, 75, 81, 82, 88, 92, 93, 73, 79, 82, 87, 24, 25, 27, 32, 34, 36, 44, 47, 26, 28, 84, 89, 92, 94, 95, 75, 80, 100)","(2, 6, 31, 32, 37, 39, 40, 45, 46, 26, 84, 86, 92, 75, 81, 82, 88, 92, 73, 79, 82, 24, 25, 27, 32, 34, 44, 26, 84, 89, 92, 94, 75, 100)",0,0,0,0,0,1,1,2,0,0,0,1,0,2,1,0,0,1
12,"(2, 4, 14, 17, 22, 25, 26, 28, 84, 88, 93, 73, 77, 78, 80, 100)","(2, 14, 17, 22, 25, 26, 84, 88, 73, 77, 78, 100)",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
47,"(3, 9, 31, 37, 42, 47, 26, 31, 37, 39, 41, 47, 26, 27, 28, 84, 89, 93, 73, 75, 78, 83, 87, 24, 29, 34, 37, 39, 44, 45, 50, 52, 54, 58, 63, 67, 72, 73, 76, 78, 83, 84, 90, 96, 96, 97, 97, 97, 97, 97, 97, 99, 100)","(3, 31, 37, 42, 26, 31, 37, 39, 41, 26, 27, 84, 89, 73, 75, 78, 83, 24, 29, 34, 37, 39, 44, 45, 50, 52, 54, 58, 63, 67, 72, 73, 76, 78, 83, 84, 90, 96, 96, 97, 97, 97, 97, 97, 97, 99, 100)",0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
22,"(6, 12, 13, 16, 6, 9, 31, 36, 44, 46, 51, 67, 71, 91, 96, 97, 97, 99, 99, 99, 99, 99, 99, 99, 99, 99, 100)","(6, 12, 13, 6, 31, 44, 46, 67, 91, 96, 97, 97, 99, 99, 99, 99, 99, 99, 99, 99, 99, 100)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
22,"(3, 7, 12, 13, 14, 17, 22, 26, 27, 28, 84, 89, 90, 92, 93, 73, 79, 85, 87, 24, 28, 84, 88, 93, 73, 76, 80, 100)","(3, 7, 12, 13, 14, 17, 22, 26, 27, 84, 89, 90, 92, 73, 79, 85, 24, 84, 88, 73, 76, 100)",0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1
47,"(1, 38, 41, 44, 47, 26, 32, 38, 43, 49, 11, 17, 20, 21, 42, 48, 52, 53, 59, 62, 19, 21, 42, 48, 50, 55, 56, 53, 54, 56, 53, 58, 60, 61, 67, 68, 74, 78, 84, 85, 89, 95, 75, 81, 83, 87, 24, 26, 28, 84, 89, 95, 75, 79, 83, 85, 91, 95, 75, 80, 100)","(38, 41, 44, 26, 32, 38, 43, 11, 17, 20, 42, 48, 52, 53, 59, 19, 42, 48, 50, 55, 53, 54, 53, 58, 60, 61, 67, 68, 74, 78, 84, 85, 89, 75, 81, 83, 24, 26, 84, 89, 75, 79, 83, 85, 91, 75, 100)",0,1,2,1,0,1,0,3,0,1,0,0,2,1,0,2,0,1
31,"(3, 9, 31, 33, 34, 36, 44, 45, 46, 50, 53, 54, 58, 59, 64, 60, 64, 60, 61, 65, 68, 73, 77, 78, 82, 88, 94, 99, 99, 99, 99, 99, 99, 99, 100)","(3, 31, 33, 34, 44, 45, 46, 50, 53, 54, 58, 59, 60, 60, 61, 65, 68, 73, 77, 78, 82, 88, 94, 99, 99, 99, 99, 99, 99, 99, 100)",0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
25,"(2, 7, 12, 17, 21, 42, 46, 47, 26, 28, 84, 89, 91, 93, 73, 79, 84, 88, 94, 96, 96, 98, 78, 84, 89, 91, 93, 73, 74, 75, 80, 100)","(2, 7, 12, 17, 42, 46, 26, 84, 89, 91, 73, 79, 84, 88, 94, 96, 96, 78, 84, 89, 91, 73, 74, 75, 100)",0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1
37,"(5, 10, 14, 18, 23, 27, 32, 38, 41, 47, 26, 32, 34, 36, 44, 48, 52, 53, 58, 62, 19, 25, 31, 34, 35, 36, 44, 46, 51, 67, 68, 71, 91, 93, 73, 76, 78, 81, 84, 86, 90, 91, 95, 75, 80, 100)","(5, 10, 14, 18, 23, 27, 32, 38, 41, 26, 32, 34, 44, 48, 52, 53, 58, 19, 25, 31, 34, 35, 44, 46, 67, 68, 91, 73, 76, 78, 81, 84, 86, 90, 91, 75, 100)",0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1
